currency,nominal,rate
AUD,1,53.6791
AZN,1,43.7037
BYN,1,26.4654
BGN,1,45.2890
BRL,1,15.1110
HUF,100,24.6104
HKD,10,94.8867
DKK,1,11.7022
AED,1,20.2304
USD,1,74.2963
EUR,1,88.5490
EGP,10,14.0988
INR,100,78.6733
KZT,100,16.0325
CNY,1,20.0000
KGS,100,84.9873
CAD,1,54.4894
MDL,10,43.3124
NOK,10,80.4665
PLN,1,20.6683
RON,1,16.6984
XDR,1,102.2235
SGD,1,58.5517
TJS,10,79.3162
TRY,10,16.4382
TMT,1,21.2275
UZS,10000,61.1898
UAH,10,16.9414
GBP,1,101.2733
CZK,10,35.9823
SEK,10,80.7822
CHF,1,95.4597
KRW,1000,51.2106
JPY,100,47.3255
